Film_id,Production_id
1053,704
1055,368
1055,705
1057,140
1059,706
1059,407
1059,707
1059,708
1059,709
1059,710
1059,711
1059,648
1060,110
1067,712
1068,568
1068,713
1073,92
1073,714
1073,152
1077,677
1077,266
1079,355
1079,715
1079,716
1081,331
1081,717
1081,330
1081,275
1084,718
1087,719
1088,720
1093,516
1093,721
1093,722
1093,723
1095,88
1095,581
1097,724
1098,725
1099,726
1099,727
1099,728
1099,697
1099,729
1099,730
1099,731
1099,732
1099,733
1099,542
1099,433
1099,734
1100,735
1100,736
1103,737
1107,738
1109,210
1110,344
1111,93
1111,680
1116,81
1122,739
1123,740
1124,644
1124,741
1126,742
1126,743
1126,744
1126,745
1134,339
1134,746
1143,747
1148,748
1150,140
1151,749
1153,516
1156,750
1156,751
1158,752
1158,60
1159,753
1160,78
1160,754
1162,110
1163,755
1163,756
1163,757
1163,758
1166,759
1168,760
1168,761
1168,762
1170,763
1170,764
1170,442
1170,330
1170,765
1170,273
1170,766
1172,767
1172,491
1172,768
1172,769
1175,770
1175,771
1177,772
1182,773
1183,295
1183,774
1185,690
1186,646
1186,775
1186,649
1186,776
1187,690
1189,680
1192,777
1194,778
1205,71
1205,779
1206,544
1206,780
1206,614
1206,781
1209,782
1209,453
1210,88
1211,783
1214,784
1215,785
1217,786
1217,787
1217,788
1220,169
1220,789
1220,790
1224,791
1224,792
1224,793
1225,794
1225,795
1235,796
1235,797
1235,798
1235,799
1237,800
1238,110
1239,286
1239,801
1241,802
1244,803
1246,804
1246,805
1246,806
1251,807
1251,808
1251,809
1255,810
1255,811
1255,812
1258,813
1258,280
1258,814
1258,118
1261,105
1264,131
1271,815
1271,816
1271,817
1271,614
1273,818
1273,819
1280,223
1280,617
1280,820
1281,386
1284,821
1284,168
1284,822
1284,823
1284,824
1285,825
1285,760
1285,826
1285,827
1285,828
1285,829
1285,223
1285,830
1285,831
1287,516
1292,435
1294,589
1294,588
1296,188
1296,108
1296,692
1298,832
1298,140
1302,740
1304,13
1304,833
1304,834
1305,835
1306,836
1306,837
1308,838
1309,668
1312,839
1312,840
1313,279
1313,17
1313,280
1313,671
1313,841
1317,28
1319,285
1319,842
1320,843
1321,844
1321,845
1324,28
1328,79
1330,846
1335,847
1335,848
1335,849
1335,850
1338,851
1340,256
1340,852
1340,298
1342,853
1342,46
1342,214
1342,351
1342,854
1343,855
1344,140
1349,856
1352,286
1352,857
1352,182
1352,298
1353,72
1353,858
1355,859
1357,860
1358,690
1359,861
1359,862
1359,863
