Film_id,Writer_id
575,1028
575,1029
576,771
577,1030
578,1031
578,1032
579,1033
579,1034
581,1035
582,1036
582,1037
583,1038
583,1039
583,1040
584,1041
585,1042
585,1043
586,1044
587,1045
587,1046
588,1047
588,1048
589,1049
590,1050
590,1051
590,1052
591,234
591,235
591,236
591,1053
591,237
592,1054
592,1055
593,1056
594,77
594,1057
594,1058
594,1059
595,1060
596,1061
596,1062
597,1063
597,1064
597,1065
598,1066
599,1067
601,1068
602,1069
603,1070
604,1071
606,1072
607,1073
608,1074
609,1075
609,1076
609,1077
609,1078
610,1079
610,1080
610,1081
610,1082
611,1083
612,1084
613,1085
613,1086
613,1087
615,1088
615,1089
616,1090
616,1091
616,1092
616,1093
617,1094
618,1095
618,1096
619,1097
619,315
619,316
620,1098
621,1099
622,1100
623,1101
624,1102
624,1103
625,1104
625,1105
626,1106
626,1107
627,1108
628,1109
628,1110
628,1111
629,1112
629,1113
630,1114
631,1115
632,1116
633,304
633,1117
634,1118
636,1119
636,1120
637,1121
638,1122
638,1123
638,1124
638,1125
638,1126
639,1127
640,1128
641,1129
641,1130
641,539
642,1131
642,261
642,457
643,1132
643,1133
644,1134
644,866
646,1135
647,1136
648,1137
649,1138
650,1139
651,1140
651,1141
652,1142
653,1143
653,1144
653,1145
653,1146
654,1147
655,1148
655,1149
655,1150
655,1151
655,1152
655,1153
656,1154
659,1155
660,1156
661,1157
662,1158
663,1159
664,1160
665,1161
666,1162
666,1163
667,1164
668,1165
668,1166
668,1167
668,1168
668,1169
668,1170
669,1171
670,1172
670,1173
670,1174
671,1175
671,1176
671,1177
672,1178
673,1179
674,1180
674,1181
674,1182
674,1183
676,1184
676,1185
676,1186
676,1187
676,1188
677,1189
678,1190
679,1191
679,1192
680,1193
680,1194
680,1195
680,1196
681,1197
682,1198
682,1199
683,1200
684,1201
684,1202
685,1203
686,1204
686,1205
687,1206
687,1207
687,1208
687,1209
688,1210
689,1211
690,1212
690,1213
692,1214
693,1215
694,1216
694,1217
695,1218
696,1219
696,1220
697,1014
698,1221
698,1222
699,1223
699,1224
700,1225
701,1226
701,1227
702,1228
703,1229
705,1230
706,1231
706,1232
707,1233
707,1234
708,1235
709,1236
709,1237
709,1238
709,1239
710,1240
710,1241
712,1242
712,1243
713,1244
714,1245
715,1246
716,1247
716,1248
716,1249
716,1250
717,1251
718,1252
719,1253
719,1254
719,1255
720,1256
722,1257
722,1258
723,1259
724,1260
725,1261
725,1262
725,1263
726,523
727,1264
728,1265
728,1266
