id,Title,Year,Runtime,Rating,Language,Country
163,Shergar,1999,95 min,5.4,English,"UK, USA"
164,Star Wars: Episode II - Attack of the Clones,2002,142 min,6.5,English,USA
165,Keke's Magic Umbrella,2000,,7.0,,China
166,You're Killing Me...,2003,86 min,4.8,English,USA
167,Lured Innocence,2000,99 min,4.8,English,USA
168,Trash,1999,95 min,5.7,English,USA
169,Return to Me,2000,115 min,6.9,"English, Italian",USA
170,An Ideal Husband,1999,97 min,6.8,English,"UK, France, USA"
171,Sunset Heights,1999,93 min,6.5,,Ireland
172,Tail Lights Fade,1999,87 min,4.7,English,Canada
173,Through Dead Eyes,1999,81 min,4.8,English,USA
174,Analyze This,1999,103 min,6.7,English,"USA, Australia"
175,Angel,2002,,,,
176,Bruno,2000,108 min,6.1,English,USA
177,The Elf Who Didn't Believe,2000,90 min,3.8,English,USA
178,Foreign Correspondents,1999,102 min,6.2,English,USA
179,The Other Sister,1999,129 min,6.5,English,USA
180,Trettondagsafton,1999,134 min,6.3,Swedish,Sweden
181,Een vrouw van het noorden,1999,,7.3,Dutch,Italy
182,Alegría,1999,94 min,6.5,"English, French, Russian",Canada
183,Burning Down the House,2001,84 min,4.8,English,USA
184,Life,1999,108 min,6.8,English,USA
185,Blue Ridge Fall,1999,100 min,5.6,English,USA
186,American Neurotic,2001,,,,
187,Blast from the Past,1999,112 min,6.6,"English, French, German, Latin",USA
188,The Cider House Rules,1999,126 min,7.4,English,USA
189,Deep Blue,2001,,5.1,English,USA
190,Hidden Agenda,1999,101 min,4.5,English,Canada
191,Abendland,1999,140 min,6.8,German,"Germany, Portugal"
192,A Rock and a Hard Place,1997,99 min,4.8,English,USA
193,Sticks,2001,92 min,5.4,English,USA
194,Heartbreakers,2001,123 min,6.2,"English, Russian",USA
195,Days by the River,1999,1 h 32 min,7.3,,
196,Notting Hill,1999,124 min,7.1,"English, Spanish","UK, USA"
197,Sophie's World,1999,113 min,5.9,"Norwegian, German, Swedish","Norway, Sweden"
198,Man on the Moon,1999,118 min,7.4,English,"UK, Germany, Japan, USA"
199,Outside Providence,1999,96 min,6.4,English,USA
200,Rum and Coke,1999,93 min,6.5,English,USA
201,Shrek,2001,90 min,7.8,English,USA
202,Chutney Popcorn,1999,92 min,5.7,English,USA
203,Cookie's Fortune,1999,118 min,6.8,English,USA
204,Santitos,1999,105 min,6.7,Spanish,"Mexico, France, Spain, Canada, USA"
205,A Stranger in the Kingdom,1999,112 min,6.0,English,USA
206,When,1999,110 min,4.6,English,USA
207,The Loss of Sexual Innocence,1999,106 min,5.4,English,"USA, UK"
208,Election,1999,103 min,7.2,"English, Spanish",USA
209,Eyes Are Upon You,2001,92 min,2.8,English,USA
210,For Love of the Game,1999,137 min,6.6,English,USA
211,Missing Link,1999,88 min,5.7,Dutch,"Netherlands, Belgium"
212,Splendor,1999,93 min,5.9,English,"UK, USA"
213,Waking the Dead,2000,105 min,6.5,English,"USA, Canada"
214,L'ami du jardin,1999,90 min,6.8,French,France
215,Clubland,1999,94 min,5.3,English,USA
216,Go to Hell,1999,90 min,5.4,English,USA
217,Delayed Exposure,2000,,2.5,German,Germany
218,Freak Talks About Sex,1999,90 min,6.1,English,USA
219,Cizinci v case,2000,,,Czech,Czech Republic
220,The Confession,1999,114 min,6.0,"English, Hebrew",USA
221,Daybreak,2002,87 min,7.8,English,Canada
222,Deadfall,2000,86 min,5.0,English,USA
223,Blazin',2001,100 min,3.9,"English, Spanish",USA
224,The Dream Catcher,1999,99 min,6.7,English,USA
225,Flophouse,2002,75 min,1.7,English,USA
226,Grey Owl,1999,118 min,6.0,"English, Ojibwa, Sioux, French","UK, Canada"
227,Instinct,1999,126 min,6.6,English,USA
228,With Fire and Sword,1999,175 min,7.0,"Polish, Tatar, Ukrainian, Turkish",Poland
229,The Bumblebee Flies Anyway,1999,95 min,6.3,English,USA
230,Facade,1999,93 min,4.7,English,USA
231,Flamingo Dreams,2000,,6.8,,USA
232,The Iron Giant,1999,86 min,8.0,English,USA
233,The Out-of-Towners,1999,90 min,5.5,English,USA
234,Ravenous,1999,101 min,7.0,"English, Italian, Spanish, Washoe","UK, Mexico, USA, Czech Republic"
235,Digital Hollywood,1999,,,English,USA
236,It Came from the Sky,1999,92 min,6.1,English,"Canada, USA"
237,Mickey Blue Eyes,1999,102 min,5.8,English,"UK, USA"
238,P.U.N.K.S.,1999,115 min,4.9,English,USA
239,The Hostages,2002,,5.9,English,Australia
240,Aimee & Jaguar,1999,125 min,7.2,German,Germany
241,Anikó,2000,70 min,,Hungarian,Hungary
242,Dinosaur,2000,82 min,6.5,English,USA
243,The Harpist,1999,93 min,5.5,English,"UK, Germany"
244,Heart,1999,85 min,6.5,English,UK
245,Quand je serai parti... vous vivrez encore,1999,120 min,6.5,French,Canada
246,Thieves,1999,,4.8,,
247,Bowfinger,1999,97 min,6.4,English,USA
248,Darkness Falls,1999,90 min,5.8,English,UK
249,Edtv,1999,122 min,6.1,English,USA
250,Henry Hill,1999,85 min,5.3,English,USA
251,Modern Miracles,1999,,8.9,,USA
252,The Outfitters,1999,92 min,5.8,English,USA
253,Rogue Trader,1999,101 min,6.4,English,UK
254,Wing Commander,1999,100 min,4.3,English,"USA, Luxembourg"
255,Yûshô,1999,,,Japanese,Japan
256,The Adventures of Rocky & Bullwinkle,2000,92 min,4.2,English,"USA, Germany, South Korea, India, Canada"
257,Dead by Monday,2001,94 min,5.6,English,"Switzerland, Germany"
258,The First of May,1999,111 min,7.0,English,USA
259,The Florentine,1999,104 min,5.7,English,USA
260,Flypaper,1999,108 min,5.1,English,USA
261,Driven,2001,116 min,4.6,"English, German, Spanish","USA, Canada, Australia"
262,Mystery Men,1999,121 min,6.1,English,USA
263,Project: Destroy,1999,,,,
264,October Sky,1999,108 min,7.8,English,USA
265,The Secret Laughter of Women,1999,99 min,6.1,English,"UK, Canada, Nigeria"
266,At First Sight,1999,128 min,6.0,English,USA
